Producto,Probabilidad
23,5.710533078262856e-05
29,5.710533078262856e-05
30,0.00019986865773919996
60,2.855266539131428e-05
66,0.00019986865773919996
67,2.855266539131428e-05
89,2.855266539131428e-05
91,2.855266539131428e-05
109,5.710533078262856e-05
118,0.00011421066156525712
121,8.565799617394284e-05
122,0.00042828998086971416
125,2.855266539131428e-05
145,2.855266539131428e-05
151,0.00017131599234788568
158,8.565799617394284e-05
160,8.565799617394284e-05
163,0.000713816634782857
166,5.710533078262856e-05
169,0.00042828998086971416
173,2.855266539131428e-05
181,8.565799617394284e-05
199,0.002626845216000914
205,2.855266539131428e-05
209,2.855266539131428e-05
215,2.855266539131428e-05
219,5.710533078262856e-05
229,0.00011421066156525712
238,2.855266539131428e-05
239,2.855266539131428e-05
290,5.710533078262856e-05
305,5.710533078262856e-05
309,0.00011421066156525712
315,2.855266539131428e-05
319,0.00022842132313051424
320,5.710533078262856e-05
326,0.00017131599234788568
332,0.0001427633269565714
338,2.855266539131428e-05
341,2.855266539131428e-05
344,8.565799617394284e-05
348,8.565799617394284e-05
354,2.855266539131428e-05
359,0.00017131599234788568
367,2.855266539131428e-05
369,2.855266539131428e-05
371,0.00034263198469577135
386,2.855266539131428e-05
398,5.710533078262856e-05
411,2.855266539131428e-05
414,5.710533078262856e-05
422,0.00011421066156525712
458,2.855266539131428e-05
667,2.855266539131428e-05
670,8.565799617394284e-05
672,5.710533078262856e-05
682,2.855266539131428e-05
690,2.855266539131428e-05
692,2.855266539131428e-05
714,2.855266539131428e-05
716,5.710533078262856e-05
717,5.710533078262856e-05
721,2.855266539131428e-05
722,5.710533078262856e-05
726,2.855266539131428e-05
741,2.855266539131428e-05
764,0.00011421066156525712
765,5.710533078262856e-05
768,2.855266539131428e-05
777,8.565799617394284e-05
783,5.710533078262856e-05
786,2.855266539131428e-05
792,2.855266539131428e-05
796,0.0001427633269565714
806,2.855266539131428e-05
828,8.565799617394284e-05
830,8.565799617394284e-05
840,0.0009707906233046854
841,5.710533078262856e-05
844,2.855266539131428e-05
848,0.00011421066156525712
849,0.0001427633269565714
871,0.00011421066156525712
872,2.855266539131428e-05
882,2.855266539131428e-05
897,0.0001427633269565714
920,2.855266539131428e-05
922,5.710533078262856e-05
928,8.565799617394284e-05
929,2.855266539131428e-05
937,2.855266539131428e-05
939,0.0004853953116523427
960,2.855266539131428e-05
961,5.710533078262856e-05
963,0.0005996059732175998
979,5.710533078262856e-05
980,0.0001427633269565714
1060,0.0001427633269565714
1081,5.710533078262856e-05
1086,5.710533078262856e-05
1094,0.00017131599234788568
1102,8.565799617394284e-05
1106,0.00031407931930445705
1120,2.855266539131428e-05
1123,0.0001427633269565714
1144,2.855266539131428e-05
1146,0.0002855266539131428
1148,0.00011421066156525712
1151,2.855266539131428e-05
1153,0.00017131599234788568
1156,0.00011421066156525712
1159,8.565799617394284e-05
1165,2.855266539131428e-05
1167,0.0001427633269565714
1184,2.855266539131428e-05
1205,5.710533078262856e-05
1206,0.0001427633269565714
1207,2.855266539131428e-05
1230,2.855266539131428e-05
1233,8.565799617394284e-05
1253,2.855266539131428e-05
1256,5.710533078262856e-05
1260,2.855266539131428e-05
1285,8.565799617394284e-05
1299,5.710533078262856e-05
1301,2.855266539131428e-05
1306,0.0001427633269565714
1311,2.855266539131428e-05
1332,8.565799617394284e-05
1335,2.855266539131428e-05
1336,2.855266539131428e-05
1346,2.855266539131428e-05
1351,8.565799617394284e-05
1364,2.855266539131428e-05
1365,2.855266539131428e-05
1367,2.855266539131428e-05
1393,8.565799617394284e-05
1400,5.710533078262856e-05
1415,0.00031407931930445705
1418,2.855266539131428e-05
1424,2.855266539131428e-05
1425,0.0001427633269565714
1426,2.855266539131428e-05
1427,8.565799617394284e-05
1428,5.710533078262856e-05
1434,2.855266539131428e-05
1440,0.00019986865773919996
1441,8.565799617394284e-05
1442,0.00017131599234788568
1443,2.855266539131428e-05
1447,5.710533078262856e-05
1454,5.710533078262856e-05
1455,2.855266539131428e-05
1458,0.0002569739885218285
1459,5.710533078262856e-05
1460,0.00011421066156525712
1464,8.565799617394284e-05
1466,2.855266539131428e-05
1478,2.855266539131428e-05
1483,2.855266539131428e-05
1488,2.855266539131428e-05
1490,5.710533078262856e-05
1492,0.00017131599234788568
1497,5.710533078262856e-05
1498,8.565799617394284e-05
1501,0.00011421066156525712
1511,2.855266539131428e-05
1516,5.710533078262856e-05
1517,2.855266539131428e-05
1518,5.710533078262856e-05
1519,0.0001427633269565714
1528,2.855266539131428e-05
1533,2.855266539131428e-05
1536,5.710533078262856e-05
1538,0.00017131599234788568
1539,5.710533078262856e-05
1544,0.00011421066156525712
1550,0.00017131599234788568
1552,0.00011421066156525712
1562,2.855266539131428e-05
1574,2.855266539131428e-05
1581,0.00011421066156525712
1586,2.855266539131428e-05
1587,2.855266539131428e-05
1588,2.855266539131428e-05
1598,5.710533078262856e-05
1608,2.855266539131428e-05
1609,5.710533078262856e-05
1631,0.0002569739885218285
1654,2.855266539131428e-05
1660,5.710533078262856e-05
1661,5.710533078262856e-05
1665,2.855266539131428e-05
1667,8.565799617394284e-05
1707,2.855266539131428e-05
1712,2.855266539131428e-05
1714,2.855266539131428e-05
1731,2.855266539131428e-05
1777,8.565799617394284e-05
1783,2.855266539131428e-05
1805,2.855266539131428e-05
1807,8.565799617394284e-05
1812,5.710533078262856e-05
1826,2.855266539131428e-05
1830,0.0005710533078262856
1833,8.565799617394284e-05
1835,2.855266539131428e-05
1839,5.710533078262856e-05
1850,5.710533078262856e-05
1855,0.00019986865773919996
1859,2.855266539131428e-05
1869,5.710533078262856e-05
1871,8.565799617394284e-05
1877,2.855266539131428e-05
1878,0.0001427633269565714
1879,2.855266539131428e-05
1881,2.855266539131428e-05
1896,5.710533078262856e-05
1897,2.855266539131428e-05
1898,2.855266539131428e-05
1899,0.0002855266539131428
1910,5.710533078262856e-05
1912,2.855266539131428e-05
1913,5.710533078262856e-05
1914,5.710533078262856e-05
1915,2.855266539131428e-05
1920,8.565799617394284e-05
1922,5.710533078262856e-05
1924,0.00017131599234788568
1927,8.565799617394284e-05
1931,0.00011421066156525712
1932,2.855266539131428e-05
1933,8.565799617394284e-05
1935,5.710533078262856e-05
1938,5.710533078262856e-05
1942,8.565799617394284e-05
1947,8.565799617394284e-05
1949,2.855266539131428e-05
1954,0.0001427633269565714
1957,5.710533078262856e-05
1965,5.710533078262856e-05
1970,0.00022842132313051424
1978,0.0001427633269565714
1984,2.855266539131428e-05
1989,0.00017131599234788568
2003,2.855266539131428e-05
2017,8.565799617394284e-05
2022,2.855266539131428e-05
2023,2.855266539131428e-05
2024,2.855266539131428e-05
2025,2.855266539131428e-05
2026,0.00011421066156525712
2028,5.710533078262856e-05
2030,0.00011421066156525712
2032,2.855266539131428e-05
2050,0.000513947977043657
2051,0.00022842132313051424
2058,0.00011421066156525712
2061,2.855266539131428e-05
2064,2.855266539131428e-05
2067,8.565799617394284e-05
2068,0.00017131599234788568
2081,2.855266539131428e-05
2083,0.00019986865773919996
2086,5.710533078262856e-05
2087,0.0001427633269565714
2089,5.710533078262856e-05
2090,5.710533078262856e-05
2092,5.710533078262856e-05
2093,0.00022842132313051424
2095,0.0001427633269565714
2097,0.0001427633269565714
2098,0.0001427633269565714
2099,5.710533078262856e-05
2100,2.855266539131428e-05
2101,2.855266539131428e-05
2103,2.855266539131428e-05
2104,2.855266539131428e-05
2106,5.710533078262856e-05
2107,2.855266539131428e-05
2108,2.855266539131428e-05
2115,2.855266539131428e-05
2116,0.0005425006424349713
2117,0.0001427633269565714
2118,0.00011421066156525712
2135,8.565799617394284e-05
2139,0.00017131599234788568
2140,2.855266539131428e-05
2141,5.710533078262856e-05
2142,2.855266539131428e-05
2145,5.710533078262856e-05
2146,5.710533078262856e-05
2226,0.0001427633269565714
2241,2.855266539131428e-05
2284,2.855266539131428e-05
2299,2.855266539131428e-05
2306,0.0003997373154783999
2312,0.00011421066156525712
2313,0.0002569739885218285
2315,2.855266539131428e-05
2316,2.855266539131428e-05
2317,2.855266539131428e-05
2323,2.855266539131428e-05
2329,2.855266539131428e-05
2331,8.565799617394284e-05
2333,2.855266539131428e-05
2335,2.855266539131428e-05
2336,2.855266539131428e-05
2339,2.855266539131428e-05
2340,2.855266539131428e-05
2342,2.855266539131428e-05
2346,0.0005996059732175998
2348,0.00017131599234788568
2349,0.00022842132313051424
2352,5.710533078262856e-05
2360,2.855266539131428e-05
2361,0.00011421066156525712
2369,8.565799617394284e-05
2373,2.855266539131428e-05
2378,0.0002569739885218285
2383,2.855266539131428e-05
2385,2.855266539131428e-05
2390,2.855266539131428e-05
2400,2.855266539131428e-05
2401,2.855266539131428e-05
2405,8.565799617394284e-05
2406,2.855266539131428e-05
2440,2.855266539131428e-05
2444,0.00011421066156525712
2450,2.855266539131428e-05
2451,5.710533078262856e-05
2453,0.0003711846500870856
2455,2.855266539131428e-05
2456,5.710533078262856e-05
2458,2.855266539131428e-05
2460,0.0001427633269565714
2461,8.565799617394284e-05
2465,0.0001427633269565714
2469,2.855266539131428e-05
2470,0.00011421066156525712
2476,0.0004853953116523427
2489,0.00034263198469577135
2490,2.855266539131428e-05
2497,8.565799617394284e-05
2500,2.855266539131428e-05
2504,2.855266539131428e-05
2509,2.855266539131428e-05
2511,5.710533078262856e-05
2513,5.710533078262856e-05
2527,2.855266539131428e-05
2532,2.855266539131428e-05
2533,2.855266539131428e-05
2534,2.855266539131428e-05
2535,2.855266539131428e-05
2536,0.00011421066156525712
2537,8.565799617394284e-05
2546,2.855266539131428e-05
2547,0.00017131599234788568
2548,8.565799617394284e-05
2549,5.710533078262856e-05
2550,8.565799617394284e-05
2551,2.855266539131428e-05
2552,0.00011421066156525712
2554,2.855266539131428e-05
2556,0.0007709219655654856
2557,8.565799617394284e-05
2558,0.0002569739885218285
2567,2.855266539131428e-05
2578,2.855266539131428e-05
2587,0.0001427633269565714
2588,5.710533078262856e-05
2598,2.855266539131428e-05
2599,8.565799617394284e-05
2601,0.0001427633269565714
2608,2.855266539131428e-05
2610,0.0001427633269565714
2611,2.855266539131428e-05
2614,0.0001427633269565714
2629,2.855266539131428e-05
2630,2.855266539131428e-05
2631,5.710533078262856e-05
2632,2.855266539131428e-05
2633,5.710533078262856e-05
2634,2.855266539131428e-05
2644,2.855266539131428e-05
2645,0.00022842132313051424
2646,8.565799617394284e-05
2648,2.855266539131428e-05
2649,2.855266539131428e-05
2658,8.565799617394284e-05
2667,2.855266539131428e-05
2671,8.565799617394284e-05
2672,8.565799617394284e-05
2675,5.710533078262856e-05
2676,8.565799617394284e-05
2677,5.710533078262856e-05
2682,5.710533078262856e-05
2689,2.855266539131428e-05
2690,2.855266539131428e-05
2705,0.00031407931930445705
2710,2.855266539131428e-05
2712,5.710533078262856e-05
2715,2.855266539131428e-05
2717,2.855266539131428e-05
2720,2.855266539131428e-05
2723,2.855266539131428e-05
2729,2.855266539131428e-05
2730,2.855266539131428e-05
2731,2.855266539131428e-05
2736,0.0002855266539131428
2738,2.855266539131428e-05
2739,0.00017131599234788568
2740,0.00017131599234788568
2744,0.00011421066156525712
