from;to;distancia;tiempo
1;34;26.87;00:35
1;35;23.77;00:29
1;36;45.16;00:42
1;37;33.98;00:38
1;38;28.69;00:36
1;39;34.3;00:39
1;40;40.2;00:37
1;41;29.19;00:36
1;42;40.28;00:37
1;43;25.59;00:35
1;44;29.41;00:36
1;45;40.59;00:38
1;46;24.27;00:31
1;47;25.96;00:34
1;48;35.78;00:43
1;49;35.56;00:41
1;50;45.46;00:44
1;51;35.78;00:41
1;52;24.28;00:31
1;53;38.14;00:45
1;54;27.18;00:38
1;55;28.74;00:36
1;56;30.08;00:38
1;57;37.33;00:43
1;58;35.83;00:43
1;59;27.63;00:39
1;60;35.78;00:41
1;61;27.4;00:37
1;62;24.45;00:30
1;63;28.25;00:41
1;64;46.23;00:46
1;65;47.47;00:47
1;66;25.29;00:33
1;67;38.29;00:45
1;68;24.86;00:30
1;69;38.19;00:45
1;70;28;00:34
1;71;38.04;00:45
1;72;27.98;00:34
1;73;47;00:46
1;74;27.16;00:38
1;75;28.16;00:35
1;76;25.29;00:32
1;77;28.02;00:40
1;78;27.41;00:33
1;79;45.71;00:42
1;80;28.1;00:40
1;81;25.14;00:28
1;82;27.9;00:34
1;83;25.87;00:30
1;84;26.44;00:32
1;85;25.75;00:31
1;86;46.21;00:44
1;87;26.61;00:36
1;88;29.46;00:41
1;89;27.37;00:38
1;90;27.9;00:34
1;91;38.67;00:47
1;92;27.2;00:33
1;93;26.45;00:32
1;94;27.66;00:39
1;95;34.22;00:46
1;96;26.84;00:37
1;97;49.25;00:50
1;98;46.89;00:44
1;99;29.45;00:41
1;100;47.27;00:46
1;101;26.09;00:31
1;102;37.54;00:46
1;103;28.94;00:42
1;104;28.65;00:38
1;105;47.56;00:47
1;106;39.51;00:50
1;107;27.5;00:33
1;108;30.18;00:42
1;109;27.03;00:33
1;110;28.36;00:36
1;111;26.28;00:30
1;112;30.09;00:41
1;113;29.62;00:40
1;114;30.62;00:43
1;115;35.12;00:39
1;116;33.33;00:44
1;117;27.52;00:35
1;118;28.89;00:41
1;119;29.52;00:41
1;120;30.34;00:42
1;121;27.69;00:35
1;122;28.43;00:37
1;123;26.61;00:29
1;124;37.67;00:48
1;125;36.08;00:44
1;126;32.49;00:42
1;127;31.02;00:45
1;128;41.07;00:50
1;129;35.17;00:43
1;130;49.68;00:52
1;131;35.83;00:44
1;132;35.62;00:43
1;133;28.21;00:36
1;134;31.74;00:46
1;135;39.32;00:46
1;136;28.51;00:35
1;137;39.14;00:46
1;138;37.83;00:46
1;139;29.97;00:36
1;140;38.38;00:46
1;141;28;00:33
1;142;29.86;00:40
1;143;29.11;00:34
1;144;34.85;00:43
1;145;28.22;00:36
1;146;29.52;00:38
1;147;42.93;00:49
1;148;50.06;00:49
1;149;31.01;00:38
1;150;29.18;00:38
1;151;35.19;00:42
1;152;28.37;00:33
1;153;37.32;00:43
1;154;29.48;00:40
1;155;32.89;00:39
1;156;35.16;00:35
1;157;29.27;00:35
1;158;29.64;00:40
1;159;34.34;00:40
1;160;36.62;00:40
1;161;37.11;00:42
1;162;36.71;00:39
1;163;39.39;00:47
1;164;34.03;00:42
1;165;29.7;00:36
1;166;33.32;00:40
1;167;34.68;00:41
1;168;37.99;00:44
1;169;35.41;00:42
1;170;34.07;00:43
1;171;36.62;00:39
1;172;39.14;00:43
1;173;35.26;00:42
1;174;32.72;00:38
1;175;38.13;00:41
1;176;35.15;00:41
1;177;35.48;00:42
1;178;34.9;00:41
1;179;34.79;00:41
1;180;35.23;00:43
1;181;37.24;00:44
1;182;33;00:38
1;183;30.24;00:34
1;184;35.44;00:43
1;185;34.98;00:42
1;186;36.22;00:44
1;187;36.21;00:44
1;188;36.17;00:42
1;189;37.62;00:39
1;190;37.66;00:39
1;191;37.56;00:45
1;192;38.43;00:45
1;193;36.96;00:44
1;194;38.03;00:39
1;195;36.43;00:42
1;196;31.23;00:38
1;197;40.09;00:48
1;198;33.23;00:38
2;0;15.96;00:34
2;1;35.56;00:38
2;2;0;00:00
2;3;1.87;00:05
2;4;2.13;00:06
2;5;2.64;00:06
2;6;25.5;00:28
2;7;23.94;00:30
2;8;25.14;00:26
