Nodo;Latitud;Longitud;Direccion
64;25.7384795;-100.4078266;Cumbres del Sur, Cumbres Elite 7o. Sector, 64349 Monterrey, N.L., Mexico
65;25.7422608;-100.411384;Paseo de Cumbres 1202, Cumbres Madeira, 64349 N.L., Mexico
66;25.7425107;-100.3241652;6a. Av. 1204, Lázaro Cárdenas, 64269 Monterrey, N.L., Mexico
67;25.7432824;-100.3418496;Av. San Martin 3209, Fomerrey Sector Poniente, 64237 Monterrey, N.L., Mexico
68;25.7434324;-100.3546469;Lic. Pedro Zorrilla 404, Valle de Santa Lucía, 64140 Monterrey, N.L., Mexico
69;25.7436778;-100.3568071;Lomas Modelo, 64140 Monterrey, N.L., Mexico
70;25.7438226;-100.38032;Fidel Velázquez, 64119 Monterrey, N.L., Mexico
71;25.7445026;-100.3875338;Magdalena García 6445, Portal de Cumbres 1o. Sector, 64348 Monterrey, N.L., Mexico
72;25.7454015;-100.3480352;Fray Servando Teresa de Mier (Fomerrey 6), 64233 Monterrey, N.L., Mexico
73;25.7457023;-100.3438249;Tierra y Libertad Sector Heroico, 64236 Monterrey, N.L., Mexico
74;25.74686;-100.3715926;Av. Villa Alegre 8616, Villa Alegre, 64130 Monterrey, N.L., Mexico
75;25.7509045;-100.3489967;1o. de Mayo, Lomas de San Martin, 64220 Monterrey, N.L., Mexico
76;25.7528862;-100.381373;Colinas de San Bernabé (Fomerrey 25), 64107 Monterrey, N.L., Mexico
77;25.7547922;-100.4059649;Río Eufrates 310, Paseo de Cumbres 2o Sector, 64346 Monterrey, N.L., Mexico
78;25.7551756;-100.3596143;Artículo 27 (Fomerrey 96), 64210 Monterrey, N.L., Mexico
79;25.7560886;-100.387691;San Bernabé (Fomerrey 105), 64109 Monterrey, N.L., Mexico
80;25.7561932;-100.4074374;Río Amazonas 105, Paseo de Cumbres 1er Sector, 64346 Monterrey, N.L., Mexico
81;25.7566867;-100.4273566;Cda. Cumbre Mallorca, Cumbres del Sol, 64349 N.L., Mexico
82;25.7586933;-100.3538331;Av. la Esperanza 6600, 23 de Marzo, 64215 Monterrey, N.L., Mexico
83;25.7594227;-100.2956389;Estación Santiago Tapia, Santiago Tapia 800, Centro, 66400 San Nicolás de los Garza, Nuevo León, Mexico
84;25.7621387;-100.384883;San Bernabé XIII Sector, 64106 Monterrey, N.L., Mexico
85;25.7634228;-100.4178833;Cumbres San Agustín, Monterrey, N.L., Mexico
86;25.7697048;-100.4048526;Mercurio 120, Barrio Estrella, 64102 Monterrey, N.L., Mexico
87;25.7710228;-100.401606;Urbi Villa del Rey, Barrio San Pedro, 64102 Monterrey, N.L., Mexico
88;25.7765069;-100.4087543;64103 Monterrey, Nuevo Leon, Mexico
89;25.7773777;-100.3915523;Arcos del Sol, 64102 Monterrey, N.L., Mexico
90;25.7777668;-100.3708439;Croc, 64200 Monterrey, N.L., Mexico
91;25.7792553;-100.4010306;Barrio Alameda, Monterrey, N.L., Mexico
92;25.7794064;-100.3785651;Urbivilla Bonita, 64102 Monterrey, N.L., Mexico
93;25.7807716;-100.4092545;Alianza, 64103 Monterrey, N.L., Mexico
94;25.7821463;-100.3937076;Llanura Blanca 300, Barrio del Prado, 64102 Monterrey, N.L., Mexico
95;25.78331;-100.3905143;Berkelio 475, Barrio Acero, 64102 Monterrey, N.L., Mexico
96;25.7892666;-100.4712805;66023 Los Parques, N.L., Mexico
97;25.7929192;-100.5205463;Villa de Ábrego 233, Altavilla, 66014 N.L., Mexico
98;25.7939262;-100.3799691;Fomerrey 35, 64209 Monterrey, N.L., Mexico
99;25.796977;-100.411866;Fray Bernardo 623, Portal del Fraile, 66064 Cd Gral Escobedo, N.L., Mexico
100;25.7996433;-100.4124519;C. Fray José 638, Sin Nombre de Col 4, 66064 Cd Gral Escobedo, N.L., Mexico
101;25.8002233;-100.3122083;General Escobedo, Nuevo Leon, Mexico
102;25.8003989;-100.4111572;C. Fray José 729, Sin Nombre de Col 4, 66064 Cd Gral Escobedo, N.L., Mexico
103;25.8181195;-100.5373732;Vista Turquesa 430, 66013 N.L., Mexico
104;25.8279506;-100.2100082;P.º Nisperos 240, 66607 N.L., Mexico
